Puesto;Artista;Scrobbles
1;Blur;2271
2;Lou Reed;1228
3;David Bowie;1191
4;The Beatles;1129
5;The Doors;1034
6;Judas Priest;914
7;The Kinks;862
8;Pixies;812
9;Diana Ross;634
10;John Lennon;586
11;Electric Light Orchestra;580
12;Gorillaz;565
13;Thin Lizzy;531
14;Oasis;505
15;Queen;500
16;Pulp;497
17;Suede;471
18;Radiohead;468
19;Pink Floyd;460
20;Stevie Wonder;451
21;Led Zeppelin;420
22;Creedence Clearwater Revival;384
23;Frank Sinatra;383
24;Supertramp;380
25;Graham Coxon;361
26;Talking Heads;324
27;The Rolling Stones;322
28;XTC;318
29;Mercury Rev;305
30;The Clash;305
31;Crystal Castles;296
32;Ramones;273
33;Tame Impala;260
34;Bee Gees;251
35;Elvis Presley;248
36;Black Sabbath;244
37;The Smashing Pumpkins;228
38;Ilegales;225
39;Supergrass;225
40;The Who;217
41;The Cure;213
42;Nirvana;206
43;The Libertines;202
44;Elton John;201
45;Manic Street Preachers;193
46;Rosendo;191
47;Héroes del Silencio;189
48;The Band;187
49;Motörhead;181
50;Bob Dylan;176
51;Joaquín Sabina;176
52;Jamiroquai;172
53;Extremoduro;171
54;AC/DC;170
55;Michael Jackson;167
56;George Harrison;165
57;Sleeper;158
58;NOFX;156
59;Phoenix;154
60;Glenn Miller;152
61;Gabinete Caligari;151
62;The Smiths;151
63;Aerosmith;149
64;Coldplay;149
65;The Beach Boys;149
66;Bruce Springsteen;144
67;Platero y tú;142
68;Red Hot Chili Peppers;140
69;Bob Marley;139
70;MGMT;139
71;Prince;139
72;Iron Maiden;137
73;The Jam;136
74;Vangelis;136
75;Weezer;136
76;The Prodigy;134
77;Catatonia;132
78;Sidonie;131
79;The Cardigans;129
80;Los Planetas;128
81;Gladys Knight & The Pips;126
82;The Verve;124
83;Kula Shaker;119
84;Muse;119
85;Sex Pistols;118
86;R.E.M.;117
87;Faith No More;116
88;Buzzcocks;115
89;Paul McCartney;115
90;Rammstein;114
91;Daft Punk;113
92;The Police;113
93;The Good, the Bad & the Queen;108
94;Radio Futura;106
95;Cream;103
96;Pavement;103
97;T. Rex;103
98;Madness;102
99;Damon Albarn;101
100;Andrés Calamaro;98
101;Franz Ferdinand;96
102;Placebo;95
103;Sonic Youth;95
104;Moby;94
105;Smash Mouth;90
106;Blondie;89
107;Arcade Fire;88
108;The Strokes;88
109;U2;88
110;Los Rodríguez;87
111;Green Day;86
112;Megadeth;86
113;Arctic Monkeys;85
114;Celtas Cortos;84
115;Steppenwolf;84
116;The Chemical Brothers;83
117;Kiss;82
118;The WAEVE;80
119;Deep Purple;79
120;Jerry Lee Lewis;79
121;Teenage Fanclub;79
122;Luis Eduardo Aute;77
123;ZZ Top;77
124;Soulwax;76
125;The Jesus and Mary Chain;76
126;Duran Duran;75
127;Echobelly;74
128;Freddie Mercury;74
129;Ocean Colour Scene;72
130;Jarvis Cocker;71
131;The Mamas & the Papas;70
132;Los Suaves;69
133;Massive Attack;69
134;Dinosaur Jr.;68
135;Leño;68
136;Pearl Jam;68
137;Ash;67
138;Metallica;67
139;Joy Division;66
140;The Divine Comedy;65
141;Misfits;64
142;Elvis Costello;63
143;my bloody valentine;63
144;Iggy Pop;61
145;Barón Rojo;59
146;Guns N' Roses;59
147;Syd Barrett;59
148;The Stone Roses;59
149;Lynyrd Skynyrd;58
150;Space;58
151;The White Stripes;57
152;Superstate;56
153;The Velvet Underground;56
154;Def con Dos;55
155;The Specials;55
156;Elastica;53
157;Nick Cave & the Bad Seeds;53
158;Siniestro Total;53
159;Depeche Mode;52
160;Jefferson Airplane;52
161;The Horrors;52
162;The Offspring;52
163;Dire Straits;51
164;New Order;51
165;Noel Gallagher;51
166;The Hives;51
167;The La's;50
168;Buddy Holly;49
169;Queens of the Stone Age;49
170;Mötley Crüe;48
171;Burning;47
172;Eskorbuto;47
173;Garbage;47
174;Kraftwerk;47
175;The Boo Radleys;47
176;Klaxons;46
177;Mike Oldfield;46
178;Van Halen;46
179;Enrique Bunbury;45
180;Rage Against the Machine;45
181;Beck;44
182;Janis Joplin;44
183;Miles Davis;44
184;Otis Redding;44
185;Portishead;44
186;Camilo Sesto;43
187;Primal Scream;43
188;Stereolab;43
189;Siouxsie and the Banshees;42
190;The Charlatans;42
191;Echo & the Bunnymen;41
192;Mansun;41
193;Player;41
194;Fleetwood Mac;40
195;Gilbert O'Sullivan;40
196;Jimi Hendrix;40
197;No Doubt;40
198;Scorpions;40
199;The Cramps;40
200;dEUS;39
201;George Michael;39
202;Jethro Tull;39
203;Little Richard;39
204;Tahiti 80;39
205;Björk;38
206;Manu Chao;38
207;Miles Kane;38
208;Barricada;37
209;Jaime Urrutia;37
210;Richard Ashcroft;37
211;Alice in Chains;36
212;Bauhaus;36
213;Giorgio Moroder;36
214;Marvin Gaye;36
215;The Pretenders;36
216;The Vines;36
217;Elbow;35
218;Joe Satriani;35
219;Patti Smith;35
220;Van Morrison;35
221;Édith Piaf;34
222;Estopa;34
223;Hamlet;34
224;Inspiral Carpets;34
225;Kaiser Chiefs;34
226;Los Piratas;34
227;The Killers;34
228;Café Quijano;33
229;El Último de la Fila;33
230;La Polla Records;33
231;Robbie Williams;33
232;Tool;33
233;Foals;32
234;Foo Fighters;32
235;Loquillo y Trogloditas;32
236;New York Dolls;32
237;Pantera;32
238;Billy Idol;31
239;Dirty Pretty Things;31
240;Jane's Addiction;31
241;Jeff Buckley;31
242;Dave Rowntree;30
243;Joe Cocker;30
244;Los Toreros Muertos;30
245;Molotov;30
246;Roxy Music;30
247;Chet Baker;29
248;Clawfinger;29
249;Nino Bravo;29
250;Decibelios;28
251;Interpol;28
252;The Coral;28
253;The Cranberries;28
254;Bad Religion;27
255;Hard-Fi;27
256;Kings of Leon;26
257;Righeira;26
258;Rocket Juice & The Moon;26
259;Small Faces;26
260;Wu-Tang Clan;26
261;Australian Blonde;25
262;De La Soul;25
263;Dream Theater;25
264;Incubus;25
265;Nine Inch Nails;25
266;Parálisis Permanente;25
267;Sigur Rós;25
268;Television;25
269;The Flaming Lips;25
270;Yes;25
271;Anthrax;24
272;Belle and Sebastian;24
273;Kasabian;24
274;PJ Harvey;24
275;Saint Etienne;24
276;Temples;24
277;Tricky;24
278;Wings;24
279;Yeah Yeah Yeahs;24
280;Crowded House;23
281;The Delgados;23
282;Travis;23
283;Genesis;22
284;Korn;22
285;Neil Young;22
286;Ride;22
287;Rory Gallagher;21
288;Slayer;21
289;Cicatriz;20
290;Grateful Dead;20
291;Spandau Ballet;20
292;Alice Cooper;19
293;Frank Zappa;19
294;Leonard Cohen;19
295;Eric Clapton;18
296;King Crimson;18
297;Robbie Dupree;18
298;Soundgarden;18
299;Wilco;18
300;Adriano Celentano;17
301;El Club de los Poetas Violentos;17
302;Reincidentes;17
303;Cat Stevens;16
304;Fatboy Slim;16
305;Glasvegas;16
306;Johnny Cash;16
307;Limp Bizkit;16
308;Rancid;16
309;Beastie Boys;15
310;Terrorvision;15
311;Boikot;14
312;La Habitación Roja;14
313;Babyshambles;13
314;Beady Eye;13
315;Death Cab for Cutie;13
316;Def Leppard;13
317;Jarabe de Palo;13
318;Lush;13
319;Madonna;13
320;Texas;13
321;Thom Yorke;13
322;Bill Evans;12
323;Moloko;12
324;Talk Talk;12
325;Deftones;11
326;Hole;11
327;Johnny Marr;11
328;King Diamond;11
329;Obus;11
330;Papa Roach;11
331;Public Image Ltd.;11
332;Rinôçérôse;11
333;Stone Temple Pilots;11
334;Al Stewart;10
335;Barry White;10
336;Carlos Berlanga;10
337;The Fratellis;10
338;The Wallflowers;10
339;Al Green;9
340;Alaska y Dinarama;9
341;Andy Gibb;9
342;Blind Guardian;9
343;David Shire;9
344;Frankie Valli;9
345;Golpes Bajos;9
346;Los Coronas;9
347;Mecano;9
348;Sylvester;9
349;The O'Jays;9
350;Tom Jones;9
351;Yann Tiersen;9
352;Chic;8
353;Derribos Arias;8
354;The Stooges;8
355;The Yardbirds;8
356;Black Harmony;7
357;John Travolta;7
358;Violadores del Verso;7
359;Morcheeba;6
360;Sha Na Na;6
361;Sid Vicious;6
362;The Doobie Brothers;6
363;The Trammps;6
364;Dick Dale;5
365;João Gilberto;5
366;Kool & the Gang;5
367;Mika;5
368;New Radicals;5
369;Obús;5
370;Sylvia Telles;5
371;The Byrds;5
372;Vampire Weekend;5
373;Ariel Rot;4
374;Eminem;4
375;José Luis Perales;4
376;Peor Impossible;4
377;Simon & Garfunkel;4
378;Sleaford Mods;4
379;B.J. Thomas;3
380;Cindy Bullens;3
381;Ennio Morricone;3
382;KC and The Sunshine Band;3
383;MFSB;3
384;Ralph MacDonald;3
385;Tavares;3
386;The Dandy Warhols;3
387;The Lemonheads;3
388;The Lovin' Spoonful;3
389;Walter Murphy;3
390;Yvonne Elliman;3
391;Brothers Johnson;2
392;Chuck Berry;2
393;JAY-Z;2
394;Jim Jacobs;2
395;Les Paul & Mary Ford;2
396;Lilys;2
397;Los Sencillos;2
398;Olivia Newton-John;2
399;Rick Nelson;2
400;Stereophonics;2
401;The Tornadoes;2
402;A Tribe Called Quest;1
403;Alaska y Los Pegamoides;1
404;Alizzz;1
405;Aphex Twin;1
406;Black Grape;1
407;blink-182;1
408;Bruce Willis;1
409;Carlos Lyra;1
410;Cornershop;1
411;Cypress Hill;1
412;Duane Whitaker;1
413;Dusty Springfield;1
414;El Aviador Dro;1
415;Frankie Avalon;1
416;Groove Armada;1
417;Happy Mondays;1
418;Helloween;1
419;Ian Brown;1
420;Justice;1
421;Kenickie;1
422;Leftfield;1
423;Link Wray & His Wraymen;1
424;Longpigs;1
425;Louis St. Louis;1
426;Marc Parrot;1
427;Maria McKee;1
428;Marilyn Manson;1
429;Museum;1
430;Passion Pit;1
431;Paul Francis Webster;1
432;Paul Weller;1
433;Pery Ribeiro;1
434;Samuel L. Jackson;1
435;Spiritualized;1
436;Stockard Channing;1
437;The Bluetones;1
438;The Go! Team;1
439;The Knack;1
440;The Lively Ones;1
441;The Long Blondes;1
442;The Marketts;1
443;The Notorious B.I.G.;1
444;The Robins;1
445;The Statler Brothers;1
446;The Teardrop Explodes;1
447;The Wonder Stuff;1
448;Underworld;1
449;Urge Overkill;1
450;Vinícius de Moraes;1
