Puesto: 1 | Artista: Blur | Scrobbles: 2249
Puesto: 2 | Artista: Lou Reed | Scrobbles: 1217
Puesto: 3 | Artista: David Bowie | Scrobbles: 1181
Puesto: 4 | Artista: The Beatles | Scrobbles: 1133
Puesto: 5 | Artista: The Doors | Scrobbles: 1029
Puesto: 6 | Artista: Judas Priest | Scrobbles: 906
Puesto: 7 | Artista: The Kinks | Scrobbles: 848
Puesto: 8 | Artista: Pixies | Scrobbles: 800
Puesto: 9 | Artista: Diana Ross | Scrobbles: 615
Puesto: 10 | Artista: John Lennon | Scrobbles: 593
Puesto: 11 | Artista: Electric Light Orchestra | Scrobbles: 570
Puesto: 12 | Artista: Gorillaz | Scrobbles: 567
Puesto: 13 | Artista: Thin Lizzy | Scrobbles: 528
Puesto: 14 | Artista: Queen | Scrobbles: 502
Puesto: 15 | Artista: Oasis | Scrobbles: 496
Puesto: 16 | Artista: Pulp | Scrobbles: 486
Puesto: 17 | Artista: Pink Floyd | Scrobbles: 453
Puesto: 18 | Artista: Stevie Wonder | Scrobbles: 451
Puesto: 19 | Artista: Suede | Scrobbles: 440
Puesto: 20 | Artista: Radiohead | Scrobbles: 428
Puesto: 21 | Artista: Led Zeppelin | Scrobbles: 394
Puesto: 22 | Artista: Creedence Clearwater Revival | Scrobbles: 379
Puesto: 23 | Artista: Frank Sinatra | Scrobbles: 368
Puesto: 24 | Artista: Supertramp | Scrobbles: 367
Puesto: 25 | Artista: Graham Coxon | Scrobbles: 365
Puesto: 26 | Artista: The Rolling Stones | Scrobbles: 330
Puesto: 27 | Artista: XTC | Scrobbles: 321
Puesto: 28 | Artista: Talking Heads | Scrobbles: 307
Puesto: 29 | Artista: The Clash | Scrobbles: 305
Puesto: 30 | Artista: Mercury Rev | Scrobbles: 304
Puesto: 31 | Artista: Crystal Castles | Scrobbles: 296
Puesto: 32 | Artista: Ramones | Scrobbles: 274
Puesto: 33 | Artista: Tame Impala | Scrobbles: 260
Puesto: 34 | Artista: Bee Gees | Scrobbles: 251
Puesto: 35 | Artista: Elvis Presley | Scrobbles: 248
Puesto: 36 | Artista: Black Sabbath | Scrobbles: 244
Puesto: 37 | Artista: The Smashing Pumpkins | Scrobbles: 229
Puesto: 38 | Artista: Ilegales | Scrobbles: 225
Puesto: 39 | Artista: Supergrass | Scrobbles: 225
Puesto: 40 | Artista: The Who | Scrobbles: 216
Puesto: 41 | Artista: Elton John | Scrobbles: 200
Puesto: 42 | Artista: The Cure | Scrobbles: 195
