rank,artist_name,playcount,playcount_pct
1,Blur,2345,5.45
2,Lou Reed,1297,3.01
3,David Bowie,1241,2.88
4,The Beatles,1153,2.68
5,The Doors,1076,2.5
6,Judas Priest,982,2.28
7,The Kinks,901,2.09
8,Pixies,878,2.04
9,Diana Ross,653,1.52
10,John Lennon,612,1.42
11,Pulp,605,1.41
12,Electric Light Orchestra,600,1.39
13,Gorillaz,572,1.33
14,Suede,550,1.28
15,Thin Lizzy,545,1.27
16,Radiohead,523,1.22
17,Oasis,518,1.2
18,Queen,512,1.19
19,Led Zeppelin,477,1.11
20,Pink Floyd,461,1.07
21,Stevie Wonder,451,1.05
22,Frank Sinatra,410,0.95
23,Supertramp,410,0.95
24,Creedence Clearwater Revival,404,0.94
25,Graham Coxon,404,0.94
26,Talking Heads,362,0.84
27,XTC,350,0.81
28,The Clash,334,0.78
29,The Rolling Stones,334,0.78
30,Mercury Rev,316,0.73
31,Crystal Castles,310,0.72
32,Ramones,302,0.7
33,Black Sabbath,265,0.62
34,Bee Gees,262,0.61
35,Tame Impala,262,0.61
36,The Smashing Pumpkins,256,0.59
37,Elvis Presley,248,0.58
38,The Cure,242,0.56
39,The Who,238,0.55
40,Ilegales,236,0.55
41,Nirvana,235,0.55
42,Supergrass,226,0.53
43,The Libertines,219,0.51
44,Rosendo,212,0.49
45,The Band,205,0.48
46,Elton John,201,0.47
47,Buzzcocks,199,0.46
48,Manic Street Preachers,193,0.45
49,Héroes del Silencio,189,0.44
50,Joaquín Sabina,189,0.44
51,Jamiroquai,186,0.43
52,Michael Jackson,186,0.43
53,Platero y tú,183,0.43
54,Motörhead,181,0.42
55,Bob Dylan,176,0.41
56,George Harrison,176,0.41
57,Sleeper,174,0.4
58,AC/DC,172,0.4
59,Extremoduro,171,0.4
60,Phoenix,164,0.38
61,The Beach Boys,162,0.38
62,Glenn Miller,161,0.37
63,MGMT,159,0.37
64,Aerosmith,158,0.37
65,The Jam,158,0.37
66,Vangelis,157,0.36
67,NOFX,156,0.36
68,Bob Marley,155,0.36
69,Gabinete Caligari,154,0.36
70,The Smiths,151,0.35
71,Sidonie,150,0.35
72,Coldplay,149,0.35
73,Iron Maiden,148,0.34
74,Los Planetas,148,0.34
75,The Prodigy,147,0.34
76,Bruce Springsteen,144,0.33
77,Madness,144,0.33
78,Red Hot Chili Peppers,140,0.33
79,Prince,139,0.32
80,Weezer,136,0.32
81,Catatonia,134,0.31
82,Pavement,134,0.31
83,Faith No More,133,0.31
84,R.E.M.,131,0.3
85,The Cardigans,129,0.3
86,Gladys Knight & The Pips,126,0.29
87,The Verve,126,0.29
88,Sonic Youth,122,0.28
89,Kula Shaker,121,0.28
90,Sex Pistols,120,0.28
91,Muse,119,0.28
92,Radio Futura,116,0.27
93,Paul McCartney,115,0.27
94,Cream,114,0.26
95,Rammstein,114,0.26
96,The Police,114,0.26
97,Daft Punk,113,0.26
98,The Boo Radleys,112,0.26
99,T. Rex,108,0.25
100,"The Good, the Bad & the Queen",108,0.25
101,The Chemical Brothers,104,0.24
102,Bauhaus,101,0.23
103,Damon Albarn,101,0.23
104,Andrés Calamaro,98,0.23
105,Los Rodríguez,97,0.23
106,Franz Ferdinand,96,0.22
107,Placebo,95,0.22
108,Moby,94,0.22
109,Blondie,92,0.21
110,Green Day,92,0.21
111,Kiss,92,0.21
112,Teenage Fanclub,91,0.21
113,Smash Mouth,90,0.21
114,Duran Duran,89,0.21
115,The Strokes,89,0.21
116,Arcade Fire,88,0.2
117,U2,88,0.2
118,Los Suaves,87,0.2
119,Megadeth,86,0.2
120,Steppenwolf,86,0.2
121,Arctic Monkeys,85,0.2
122,Freddie Mercury,85,0.2
123,Ocean Colour Scene,85,0.2
124,Celtas Cortos,84,0.2
125,Deep Purple,80,0.19
126,The WAEVE,80,0.19
127,Jerry Lee Lewis,79,0.18
128,Jarvis Cocker,78,0.18
129,Massive Attack,78,0.18
130,Luis Eduardo Aute,77,0.18
131,ZZ Top,77,0.18
132,Echobelly,76,0.18
133,Soulwax,76,0.18
134,The Jesus and Mary Chain,76,0.18
135,Nick Cave & the Bad Seeds,75,0.17
136,Ash,74,0.17
137,Dinosaur Jr.,71,0.16
138,Public Image Ltd.,71,0.16
139,The Mamas & the Papas,71,0.16
140,Elastica,70,0.16
141,Leño,68,0.16
142,New Order,68,0.16
143,Pearl Jam,68,0.16
144,Joy Division,67,0.16
145,Metallica,67,0.16
146,The Killers,67,0.16
147,Lynyrd Skynyrd,66,0.15
148,my bloody valentine,65,0.15
149,Noel Gallagher,65,0.15
150,The Divine Comedy,65,0.15
151,Misfits,64,0.15
152,Elvis Costello,63,0.15
153,Iggy Pop,62,0.14
154,Syd Barrett,62,0.14
155,The Horrors,62,0.14
156,The La's,62,0.14
157,Kraftwerk,61,0.14
158,The Velvet Underground,61,0.14
159,Barón Rojo,59,0.14
160,Guns N' Roses,59,0.14
161,Scorpions,59,0.14
162,Space,59,0.14
163,The Stone Roses,59,0.14
164,Garbage,58,0.13
165,Klaxons,58,0.13
166,Stereolab,58,0.13
167,Van Halen,58,0.13
168,Eskorbuto,57,0.13
169,Superstate,57,0.13
170,The White Stripes,57,0.13
171,Def con Dos,55,0.13
172,Echo & the Bunnymen,55,0.13
173,Manu Chao,55,0.13
174,Siouxsie and the Banshees,55,0.13
175,The Specials,55,0.13
176,No Doubt,54,0.13
177,Burning,53,0.12
178,dEUS,53,0.12
179,Siniestro Total,53,0.12
180,Depeche Mode,52,0.12
181,Jefferson Airplane,52,0.12
182,The Offspring,52,0.12
183,Dire Straits,51,0.12
184,Tahiti 80,51,0.12
185,The Hives,51,0.12
186,Buddy Holly,49,0.11
187,Queens of the Stone Age,49,0.11
188,Jaime Urrutia,48,0.11
189,Kasabian,48,0.11
190,Mötley Crüe,48,0.11
191,Janis Joplin,47,0.11
192,Elbow,46,0.11
193,Mike Oldfield,46,0.11
194,Enrique Bunbury,45,0.1
195,Marvin Gaye,45,0.1
196,Rage Against the Machine,45,0.1
197,Beck,44,0.1
198,Billy Idol,44,0.1
199,Foo Fighters,44,0.1
200,Miles Davis,44,0.1
201,Otis Redding,44,0.1
202,Portishead,44,0.1
203,Camilo Sesto,43,0.1
204,Patti Smith,43,0.1
205,Primal Scream,43,0.1
206,Giorgio Moroder,42,0.1
207,Loquillo y Trogloditas,42,0.1
208,Mansun,42,0.1
209,The Charlatans,42,0.1
210,Interpol,41,0.1
211,Jethro Tull,41,0.1
212,Player,41,0.1
213,Fleetwood Mac,40,0.09
214,George Michael,40,0.09
215,Gilbert O'Sullivan,40,0.09
216,Jimi Hendrix,40,0.09
217,Nine Inch Nails,40,0.09
218,The Cramps,40,0.09
219,Björk,39,0.09
220,Little Richard,39,0.09
221,Dream Theater,38,0.09
222,Miles Kane,38,0.09
