rank,artist_name,playcount,artist_url,artist_mbid
1,Blur,2343,https://www.last.fm/music/Blur,ba853904-ae25-4ebb-89d6-c44cfbd71bd2
2,Lou Reed,1278,https://www.last.fm/music/Lou+Reed,9d1ebcfe-4c15-4d18-95d3-d919898638a1
3,David Bowie,1226,https://www.last.fm/music/David+Bowie,5441c29d-3602-4898-b1a1-b77fa23b8e50
4,The Beatles,1153,https://www.last.fm/music/The+Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d
5,The Doors,1065,https://www.last.fm/music/The+Doors,9efff43b-3b29-4082-824e-bc82f646f93d
6,Judas Priest,960,https://www.last.fm/music/Judas+Priest,6b335658-22c8-485d-93de-0bc29a1d0349
7,The Kinks,881,https://www.last.fm/music/The+Kinks,17b53d9f-5c63-4a09-a593-dde4608e0db9
8,Pixies,870,https://www.last.fm/music/Pixies,b6b2bb8d-54a9-491f-9607-7b546023b433
9,Diana Ross,653,https://www.last.fm/music/Diana+Ross,60d41417-feda-4734-bbbf-7dcc30e08a83
10,John Lennon,611,https://www.last.fm/music/John+Lennon,4d5447d7-c61c-4120-ba1b-d7f471d385b9
11,Electric Light Orchestra,600,https://www.last.fm/music/Electric+Light+Orchestra,0c502791-4ee9-4c5f-9696-0602b721ff3b
12,Gorillaz,572,https://www.last.fm/music/Gorillaz,e21857d5-3256-4547-afb3-4b6ded592596
13,Suede,548,https://www.last.fm/music/Suede,
14,Pulp,546,https://www.last.fm/music/Pulp,76b2e842-5e85-4c97-ab62-d5bc315595b5
15,Thin Lizzy,545,https://www.last.fm/music/Thin+Lizzy,6a726ac6-019e-455c-8bbb-571a77bed52e
16,Radiohead,523,https://www.last.fm/music/Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711
17,Oasis,518,https://www.last.fm/music/Oasis,
18,Queen,512,https://www.last.fm/music/Queen,0383dadf-2a4e-4d10-a46a-e9e041da8eb3
19,Led Zeppelin,460,https://www.last.fm/music/Led+Zeppelin,678d88b2-87b0-403b-b63d-5da7465aecc3
20,Pink Floyd,460,https://www.last.fm/music/Pink+Floyd,83d91898-7763-47d7-b03b-b92132375c47
21,Stevie Wonder,451,https://www.last.fm/music/Stevie+Wonder,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e
22,Frank Sinatra,408,https://www.last.fm/music/Frank+Sinatra,197450cd-0124-4164-b723-3c22dd16494d
23,Creedence Clearwater Revival,402,https://www.last.fm/music/Creedence+Clearwater+Revival,109958eb-a335-4c5e-907e-597ff4c6af46
24,Graham Coxon,392,https://www.last.fm/music/Graham+Coxon,fb56cc34-2ab1-4621-ac18-9bf2895e5f4f
